# ----------------------------------------
# Pages and screens: Page path
# Account: Harper
# Property: harper.fast - GA4
# ----------------------------------------
# 
# All Users
# Start date: 20251021
# End date: 20260204
Page path,Views,Active users,Views per active user,Average engagement time per active user,Event count,Key events,Total revenue
/docs/administration/administration,27,21,1.2857142857142858,1.7142857142857142,89,0,0
/docs/administration/harper-studio/enable-mixed-content,27,18,1.5,2.6666666666666665,59,0,0
/release-notes/v1-alby/1.1.0,27,27,1,1.7407407407407407,115,0,0
/release-notes/v3-monkey,27,22,1.2272727272727273,1.3181818181818181,89,0,0
/release-notes/v4-tucker/4.3.8,27,26,1.0384615384615385,1.8076923076923077,104,0,0
/release-notes/v4-tucker/4.4.3,27,26,1.0384615384615385,2.4615384615384617,103,0,0
/release-notes/v4-tucker/4.5.19,27,15,1.8,4.333333333333333,62,0,0
/docs/4.2/developers/real-time,26,23,1.1304347826086956,2.4782608695652173,81,0,0
/docs/administration/harper-studio/instance-metrics,26,18,1.4444444444444444,3.2777777777777777,65,2,0
/docs/developers/components/built-in,26,19,1.368421052631579,3.1578947368421053,98,0,0
/docs/reference/sql-guide,26,16,1.625,10.5625,50,0,0
/release-notes/v2-penny/2.3.1,26,26,1,1.0384615384615385,107,0,0
/release-notes/v4-tucker/4.3.26,26,22,1.1818181818181819,1.0909090909090908,87,0,0
/release-notes/v4-tucker/4.5.24,26,9,2.888888888888889,1.4444444444444444,40,0,0
/release-notes/v4-tucker/4.7.14,26,11,2.3636363636363638,11.545454545454545,35,0,0
/docs/4.6/developers/operations-api/nosql-operations,25,2,12.5,218,30,0,0
/docs/developers/components/reference,25,19,1.3157894736842106,3.789473684210526,84,0,0
/docs/reference/clustering/enabling-clustering,25,11,2.272727272727273,8.181818181818182,52,1,0
/release-notes/v4-tucker/4.2.0,25,22,1.1363636363636365,8.5,95,1,0
/release-notes/v4-tucker/4.4.24,25,13,1.9230769230769231,11.461538461538462,48,0,0
/release-notes/v4-tucker/4.7.13,25,10,2.5,44.9,31,0,0
/release-notes/v4-tucker/4.7.15,25,11,2.272727272727273,7.636363636363637,38,0,0
/release-notes/v4-tucker/tucker,25,21,1.1904761904761905,3.2857142857142856,78,0,0
/docs/4.1,24,24,1,6,84,0,0
/docs/4.4/developers/applications,24,8,3,17.5,48,0,0
/docs/4.5/developers/operations-api/logs,24,5,4.8,91.8,31,1,0
/docs/4.6/administration/harper-studio,24,18,1.3333333333333333,3.2777777777777777,64,0,0
/release-notes/v4-tucker/4.6.2,24,20,1.2,2.4,75,0,0
/docs/4.2/developers/operations-api/clustering,23,23,1,1.9565217391304348,88,0,0
/docs/4.6/developers/applications/defining-schemas,23,9,2.5555555555555554,43.44444444444444,42,1,0
/docs/reference/sql-guide/json-search,23,12,1.9166666666666667,39.666666666666664,40,1,0
/release-notes/v1-alby/1.3.0,23,23,1,0.9130434782608695,101,0,0
/release-notes/v3-monkey/3.0.0,23,24,0.9583333333333334,0.5833333333333334,97,0,0
/release-notes/v4-tucker/4.1.1,23,23,1,0.6521739130434783,97,0,0
/release-notes/v4-tucker/4.3.27,23,21,1.0952380952380953,2.7142857142857144,88,0,0
/release-notes/v4-tucker/4.5.20,23,10,2.3,4.8,39,0,0
/release-notes/v4-tucker/4.6.1,23,18,1.2777777777777777,11.777777777777779,72,0,0
/release-notes/v4-tucker/4.6.22,23,9,2.5555555555555554,32.333333333333336,33,0,0
/release-notes/v4-tucker/4.7.11,23,11,2.090909090909091,4.636363636363637,35,0,0
/docs/4.2/getting-started,22,16,1.375,3.4375,66,0,0
/docs/4.3/developers/applications/defining-schemas,22,20,1.1,7.1,84,0,0
/docs/4.3/developers/operations-api/bulk-operations,22,22,1,3.5454545454545454,87,0,0
/docs/4.5/developers/applications/caching,22,6,3.6666666666666665,6.166666666666667,33,0,0
/docs/administration/harper-studio/instance-configuration,22,13,1.6923076923076923,3.769230769230769,33,1,0
/docs/administration/harper-studio/manage-instance-users,22,17,1.2941176470588236,8.352941176470589,62,0,0
/docs/technical-details/reference/resource,22,17,1.2941176470588236,3.235294117647059,74,0,0
/release-notes/v1-alby/1.3.1,22,22,1,0.6818181818181818,93,0,0
/release-notes/v4-tucker/4.2.7,22,18,1.2222222222222223,1.6666666666666667,73,2,0
/release-notes/v4-tucker/4.3.32,22,21,1.0476190476190477,1.380952380952381,77,0,0
/release-notes/v4-tucker/4.5.22,22,10,2.2,2.2,35,0,0
/release-notes/v4-tucker/4.5.6,22,15,1.4666666666666666,0.9333333333333333,57,0,0
/docs/4.3/deployments/harperdb-cloud/iops-impact,21,21,1,4.619047619047619,86,0,0
/docs/4.3/developers/operations-api/utilities,21,14,1.5,10.357142857142858,58,0,0
/docs/4.6/developers/operations-api/configuration,21,5,4.2,36.4,29,1,0
/docs/4.6/developers/operations-api/system-operations,21,3,7,38,29,0,0
/docs/reference/sql-guide/sql-geospatial-functions,21,21,1,2.0476190476190474,74,0,0
/release-notes/v1-alby,21,17,1.2352941176470589,0.47058823529411764,67,0,0
/release-notes/v2-penny/2.1.1,21,20,1.05,2.1,85,0,0
/release-notes/v3-monkey/3.1.1,21,21,1,0.8571428571428571,87,0,0
/release-notes/v3-monkey/3.3.0,21,17,1.2352941176470589,6.0588235294117645,68,1,0
/release-notes/v4-tucker/4.3.28,21,16,1.3125,3.1875,56,1,0
/release-notes/v4-tucker/4.3.31,21,19,1.105263157894737,1,74,0,0
/release-notes/v4-tucker/4.4.13,21,13,1.6153846153846154,1.3076923076923077,49,0,0
/release-notes/v4-tucker/4.4.18,21,16,1.3125,3.4375,59,0,0
/release-notes/v4-tucker/4.5.13,21,11,1.9090909090909092,1,40,0,0
/release-notes/v4-tucker/4.5.16,21,14,1.5,2.5,54,0,0
/release-notes/v4-tucker/4.5.21,21,9,2.3333333333333335,1.5555555555555556,30,1,0
/release-notes/v4-tucker/4.6.11,21,9,2.3333333333333335,2.7777777777777777,32,0,0
/docs/4.1/install-harperdb,20,12,1.6666666666666667,6.583333333333333,49,0,0
/docs/4.2/developers/operations-api/databases-and-tables,20,20,1,3.9,83,0,0
/docs/4.6/developers/rest,20,4,5,53.25,32,0,0
/docs/administration/harper-studio/query-instance-data,20,11,1.8181818181818181,16.545454545454547,32,2,0
/docs/deployments/harper-cloud/iops-impact,20,15,1.3333333333333333,16.866666666666667,42,2,0
/docs/reference/clustering/establishing-routes,20,6,3.3333333333333335,36.666666666666664,26,0,0
/release-notes/v2-penny/2.3.0,20,22,0.9090909090909091,1.2272727272727273,82,0,0
/release-notes/v4-tucker/4.3.21,20,18,1.1111111111111112,1.5,67,0,0
/release-notes/v4-tucker/4.4.17,20,16,1.25,7.8125,55,0,0
/release-notes/v4-tucker/4.4.6,20,15,1.3333333333333333,2.3333333333333335,59,0,0
/release-notes/v4-tucker/4.5.9,20,17,1.1764705882352942,1.9411764705882353,62,0,0
/docs/4.2/developers/rest,19,16,1.1875,16.5,58,0,0
/docs/4.2/developers/security/users-and-roles,19,20,0.95,2,68,0,0
/docs/4.3/deployments/harperdb-cli,19,19,1,2.0526315789473686,74,0,0
/docs/4.3/deployments/install-harperdb,19,16,1.1875,3,62,0,0
/docs/4.3/getting-started,19,19,1,3.0526315789473686,71,0,0
/docs/4.6/developers/applications/caching,19,3,6.333333333333333,64,28,0,0
/docs/4.6/developers/operations-api,19,6,3.1666666666666665,10.5,26,0,0
/docs/4.6/developers/real-time,19,6,3.1666666666666665,114.5,34,0,0
/docs/4.6/developers/replication,19,7,2.7142857142857144,12.571428571428571,33,0,0
/docs/4.6/reference/globals,19,7,2.7142857142857144,91.71428571428571,38,0,0
/docs/developers/clustering/certificate-management,19,11,1.7272727272727273,5.090909090909091,33,0,0
/docs/reference/clustering/subscription-overview,19,15,1.2666666666666666,7.8,54,1,0
/release-notes/v1-alby/1.2.0,19,18,1.0555555555555556,1.0555555555555556,77,0,0
/release-notes/v4-tucker/4.0.5,19,19,1,1.1578947368421053,80,0,0
/release-notes/v4-tucker/4.3.19,19,14,1.3571428571428572,2.2857142857142856,55,0,0
/release-notes/v4-tucker/4.3.34,19,17,1.1176470588235294,3.764705882352941,64,0,0
/release-notes/v4-tucker/4.5.11,19,12,1.5833333333333333,1.3333333333333333,45,0,0
/release-notes/v4-tucker/4.5.12,19,10,1.9,1.2,39,0,0
/release-notes/v4-tucker/4.5.15,19,13,1.4615384615384615,2.923076923076923,42,0,0
/release-notes/v4-tucker/4.5.23,19,6,3.1666666666666665,2.5,23,0,0
/release-notes/v4-tucker/4.5.25,19,8,2.375,1.25,28,0,0
/release-notes/v4-tucker/4.5.3,19,14,1.3571428571428572,2.7857142857142856,54,0,0
/release-notes/v4-tucker/4.6.21,19,9,2.111111111111111,3.111111111111111,32,0,0
/docs/4.2/technical-details/reference/architecture,18,11,1.6363636363636365,1.3636363636363635,54,0,0
/docs/4.3/developers/clustering,18,18,1,2.2777777777777777,70,0,0
/docs/4.3/technical-details/reference/dynamic-schema,18,18,1,2.2222222222222223,77,0,0
/docs/4.3/technical-details/reference/resource,18,19,0.9473684210526315,3.1578947368421053,76,0,0
/docs/4.5/reference/resource,18,7,2.5714285714285716,32.57142857142857,29,0,0
/docs/4.6/developers/operations-api/analytics,18,9,2,19.444444444444443,41,0,0
/docs/administration/harper-studio/organizations,18,11,1.6363636363636365,7.363636363636363,40,0,0
/release-notes/v2-penny/2.2.0,18,18,1,1.3888888888888888,79,0,0
/release-notes/v3-monkey/3.1.0,18,18,1,1.0555555555555556,77,0,0
/release-notes/v4-tucker/4.0.1,18,18,1,1.8333333333333333,69,0,0
/release-notes/v4-tucker/4.3.20,18,9,2,3,35,0,0
/release-notes/v4-tucker/4.3.29,18,16,1.125,1.5625,65,0,0
/release-notes/v4-tucker/4.5.17,18,11,1.6363636363636365,0.5454545454545454,37,0,0
/release-notes/v4-tucker/4.5.7,18,15,1.2,3.3333333333333335,58,0,0
/release-notes/v4-tucker/4.6.8,18,6,3,9,31,0,0
/docs/4.1/harperdb-cli,17,12,1.4166666666666667,7.416666666666667,47,0,0
/docs/4.1/harperdb-studio/organizations,17,17,1,1.2941176470588236,60,0,0
/docs/4.1/harperdb-studio/resources,17,13,1.3076923076923077,4.846153846153846,56,1,0
/docs/4.1/install-harperdb/linux,17,17,1,25.764705882352942,64,0,0
/docs/4.2/developers/operations-api/users-and-roles,17,17,1,4.352941176470588,70,0,0
/docs/4.2/technical-details/reference,17,9,1.8888888888888888,0.4444444444444444,46,0,0
/docs/4.3/deployments/harperdb-cloud/verizon-5g-wavelength-instances,17,17,1,1.7058823529411764,66,0,0
/docs/4.3/technical-details/reference/data-types,17,17,1,2.1176470588235294,71,0,0
/docs/4.4/developers/operations-api/users-and-roles,17,7,2.4285714285714284,82.14285714285714,34,0,0
